variety,country,province,winery,price,points,expert wine description
Sauvignon Blanc,France,Loire Valley,Domaine Fouassier,29.0,92.0,"This ripe wine offers flavors of Williams pear and honey as well as citrus and herbal characteristics. It is full while cut with orange zest and spiciness. The wine is refreshing, sophisticated and likely to age well. Drink now and until 2020."
Malbec,Argentina,Mendoza Province,Alta Vista,29.0,92.0,"Composed, mossy aromas of fern, black fruits and cedar are more subtle than the palate, which is intense and a bit grating. Dark flavors of chocolate, wild berry and mocha finish with depth, integrated tannins and chocolaty richness. Drink this blend of three vineyards through 2021."
Bordeaux-style White Blend,France,Bordeaux,Clos Haut-Peyraguey,29.0,92.0,"Rich and dense, this generous wine has considerable botrytis as well as perfumed apricot and bitter orange flavors. It's ripe and full of fruit and honey. Drink from 2020."
Pinot Noir,US,Oregon,Aberrant Cellars,29.0,92.0,"Comprised of multiple clones from five different vineyards, this exceptional value includes a rich cohesive core of purple fruits, amplified with barrel flavors of toasted coconut and bright spice. Everything is beautifully focused across the full palate, and even after being open for a full 24 hours, the wine tastes fresh and delicious."
Petite Sirah,US,California,Cedarville Vineyard,29.0,92.0,"In this opulent, layered and full-bodied wine, a smoky beefy aroma and a melt-in-the-mouth texture come with flavors of dark maraschino cherries, dark chocolate and baking spices. It's very mouth filling and mouth coating as well as firmly tannic, but the richness of the flavors helps it to drink very smoothly."
Turbiana,Italy,Lombardy,Cà Lojera,29.0,92.0,"This structured white displays enticing aromas of beeswax, Spanish broom, acacia and chamomile. The round, structured palate offers mature apricot, juicy nectarine peel, yellow peach and Bartlett pear, with firm acidity. Savory herb and energizing mineral sensations signal the close."
Bordeaux-style Red Blend,France,Bordeaux,Château Fonréaud,29.0,92.0,"This is a rich stylish wine from the Chanfreau family. It has fine tannins and signs of wood aging, both of which will meld into the juicy black-currant fruits. It has a predominance of Cabernet Sauvignon that gives the wine its structure and aging potential. The aftertaste is ripe and still crisp, still young. Drink from 2020."
Shiraz,Australia,South Australia,The Old Faithful,29.0,92.0,"A relative bargain amid top-quality McLaren Vale Shiraz, the 2005 Top of the Hill Shiraz is beginning to show some softening and signs of maturity, yet remains intensely perfumed and flavored. Coffee bean and black olive notes start it off, backed by enough fruit richness to give it an expansive mouthfeel and long finish. Drink now–2015."
Syrah,US,Washington,Olsen Estates,29.0,92.0,"A strong effort from Olsen Estates, this 100% Syrah has fine varietal character, in a rough and tumble style. Cured meats, herbs, earth and hints of sea salt mingle with the wild berry fruit flavors. It's balanced and fresh, with lingering and nuanced flavors threading through the gulpable finish."
Tempranillo Blend,Spain,Northern Spain,Sierra Cantabria,29.0,92.0,"Full and smoky at first, however as it settles the bouquet delivers ripe strawberry and additional red, jammy aromas. The palate has a healthy, very nice feel and diligent flavors of red berry fruit touched up by proper oak. Finishes creamy, with vanilla and spice flavors."
Bordeaux-style Red Blend,France,Bordeaux,Château La Fleur Peyrabon,29.0,92.0,"A small part of Château Peyrabon (Haut-Médoc) is in the Pauillac appellation and is vinified and bottled separately. The wine delivers great fruit and equal richness. It is spice, packed with black plum and berry flavors. It is a powerful dense wine to age for several years. Drink from 2023."
Grüner Veltliner,Austria,Niederösterreich,Dürnberg,29.0,92.0,"This wine benefits from some time in bottle. Wood and fruit are integrated, bringing out the spice in the fruit, while leaving delicious apple and white currant fruits to blossom. Screwcap."
Syrah,New Zealand,Hawke's Bay,Mission Estate,29.0,92.0,"This is less luxuriantly ripe than some of the other 2013 Hawke's Bay Syrahs, showing some firm, dusty tannins on the finish, but it's still a terrific offering. Cracked black pepper, fresh blueberries and cedar notes come together beautifully on the palate, promising much for the future. Drink 2018–2025."
Pinot Noir,US,Oregon,Siduri,29.0,92.0,"There is a racy, spicy, biting edge to this young Pinot that nicely expresses the Chehalem Mountains AVA terroir, authoritative and unapologetic for the herbal side of the grape. It lingers and opens into a mélange of red fruits, forest, leaf and loam, still stiff and compact after hours of breathing."
Riesling,Italy,Northeastern Italy,Abbazia di Novacella,29.0,92.0,"This radiant wine opens with heady aromas of white flower, honey, beeswax and citrus zest. The elegant palate shows class and pedigree, offering nectarine, aromatic herb and white stone fruit alongside lively acidity. An energizing mineral note closes the lingering finish."
Red Blend,Argentina,Mendoza Province,Benvenuto de la Serna,29.0,92.0,"Trisagio is a Malbec-led blend with Cab Sauvignon and Petit Verdot. It's a dense wine offering the full allotment of berry, earth and meaty aromas. Plump and layered across the palate, this tastes of chocolaty oak, baking spices, herbs, cassis and a pinch of salt. A long, pure finish is a nice topping; drink through 2021."
Sauvignon Blanc,France,Loire Valley,Domaine de la Villaudière,29.0,92.0,"Tensely mineral, this is a tight, crisp wine. The palate ranges from pink grapefruit to a more steely, stony texture. The acidity shooting through the wine is well in balance with the fruits and structure. It could go through 2015 to be even better."
Red Blend,US,California,Zenaida Cellars,29.0,92.0,"One of the least-expensive red blends the winery makes, this bottling of 50% Syrah, 30% Petite Sirah and 20% Cabernet Sauvignon shows blueberry, lavender, violets, ginger snap, oregano, leather, coffee and freshly baked croissant on the nose. It's layered on the sip, with dark chocolate, caramel, black-cherry juice, pork au jus and savory miso flavors."
Braucol,France,Southwest France,Domaine du Moulin,29.0,92.0,"This is a dark-colored wine, powerful and dense. With a fine perfumed character, it is rich with black fruits and concentrated from the low yields. It is impressive, ripe and darkly structured and with a firm long-lasting aftertaste. Still young and packed with fruit, it will be better from 2018."
Red Blend,US,Washington,Northstar,29.0,92.0,"This blend of Merlot (61%), Cabernet Sauvignon (27%), Syrah (8%) and Petit Verdot brings notes of anise, black currant, herbs, mint and raspberries. The palate brings good depth of flavors and richness while showing both elegance and precision."
Sangiovese,Italy,Tuscany,Avignonesi,29.0,92.0,"Aromas of underbrush, red berry, cooking spice and Mediterranean brush lead the nose on this structured, polished wine. The firm palate delivers wild cherry, tobacco, savory herb, white pepper and a balsamic note alongside supple tannins. Enjoy through 2018."
Garganega,Italy,Veneto,Gini,29.0,92.0,"This enticingly fragrant wine offers scents of white spring flower, apple, ginger and flint. On the elegantly structured palate, radiant acidity underscores crisp apple, Bosc pear, white peach and lemon drop, while a salty mineral note closes the tangy finish. It's an impressive effort for what was overall a washout vintage. Drink through 2024."
Rhône-style Red Blend,US,California,Hawk Watch Winery,29.0,92.0,"This blend of Grenache, Syrah and Petite Sirah from the Warner Springs area southeast of Temecula shows lots of promise for this producer. Smoky berries, uncrushed black peppercorns and a bit of asphalt show on the nose, with juicy, plump red fruits benefitting from lots of cardamom, allspice and other black spices on the palate."
Syrah,US,California,Cedarville,29.0,92.0,"An aroma like charcoal and fennel leads to concentrated smoke and black-pepper flavors and a taut, tannic texture before more generous nuances like black cherry and savory lentils kick in. It's a fascinating wine that develops more layers and complexity as it breathes. Best after 2019."
Cabernet Franc,US,Washington,Barrister,29.0,92.0,"The flagship bottling for this winery, this brings aromas of dried herbs, dark chocolate, espresso bean, black currant and cherry. The dark fruit flavors are rich and concentrated, possessing a layered mouthfeel that captures the attention."
Syrah,US,Oregon,Abacela,29.0,92.0,"This terrific wine is classically varietal, with beautifully defined flavors of cured meats, tobacco, coffee, lavender and peppercorn, all in service to ripe purple fruits. Impeccably balanced, it conveys finesse."
Cabernet Franc,Argentina,Other,Verum,29.0,92.0,"Cool, breezy Patagonia is the home address for this light-colored but full-flavored Cab Franc. Cherry, berry and woodsy aromas set up a firm, wide palate with lightly herbal, leafy flavors of berry fruits and chocolate. Cocoa dust and a pinch of saltiness are noted on a full finish. Drink through 2022."
Riesling,France,Alsace,Domaine Fernand Engel,29.0,92.0,"The faintest hint of fir honey appears on the nose. Underneath that and on the palate apple fruit holds sway, presenting an interplay between ripe and tart flesh. The palate is dry but nonetheless has that touch of dark, bitter fir honey. This has drive and linearity and a lasting, clean, apple-fruited finish."
Riesling,France,Alsace,Domaines Schlumberger,29.0,92.0,"Earthy notes are mixed into the perfume of fleshy, ripe apricots, edged with baking spice. The palate plays on the same register of ripe stone fruit tempered by spice, earth and dried orange peel. This is dry and slender but incisive and concentrated—very grown up and appealing in a restrained, elegant fashion. The finish is clean and long. Drink 2016–2025."
White Blend,Italy,Sicily & Sardinia,Destro,29.0,92.0,"A blend of Carricante and Catarratto planted in high-altitude vineyards, this linear vibrant white offers delicate but enticing scents of Spanish broom, jasmine and orchard fruit. The bright delicious palate doles out creamy yellow apple, green pear and chopped mint while a mineral note underscores the finish. It's loaded with finesse."
Cabernet Sauvignon,Australia,Western Australia,Plantagenet,29.0,92.0,"Great Southern is an underrated source for Cabernet Sauvignon, amply demonstrated by this wine. Expansive notes of cedar, brown sugar, vanilla and baking spices enrobe tart berries, while the wine's firm structure carries through to a crisp, tannic finish. Try in 2020."
Red Blend,Austria,Burgenland,Hillinger,29.0,92.0,"The nose is still closed: There is just a hint of dark fruit. The palate lightens with expressive and finely drawn fruit. There is pepper-tinged red cherry, fine notes of cranberry and red currant. The fruit here is beautiful and taut; there is freshness, tension and real elegance. Tannins are supple and fine, and the body is unforced and fresh."
Tinta de Toro,Spain,Northern Spain,Teso La Monja,29.0,92.0,"This open-knit, yet chunky Toro features sweet, oaky aromas of plastic, mocha and baked plum. Concentrated and creamy on the palate, it tastes of chocolate, vanilla and savory blackberry. Full, chunky and bold but balanced on the finish; drink through 2023."
Chardonnay,US,California,Kessler-Haak,29.0,92.0,"This is a solidly made wine that hits all the right notes. Hot toast, lemon curd and cut red apple show on the lush, perfectly ripe but not at all buttered nose. Key lime flesh and skins show on the balanced palate, where a touch of butter is cut by laser sharp acidity and chalky minerality."
Rosé,France,Provence,Domaine des Diables,29.0,92.0,"This rosé needs to age. It has a zesty, crisp and mineral texture that is tight and nervy. As it softens, more red fruits will come to the front, although the structure will remain, making this a serious rosé for drinking with food."
Sauvignon Blanc,New Zealand,Marlborough,Saint Clair,29.0,92.0,"As usual, the Wairau Reserve is Saint Clair's biggest, plushest, most opulent Sauvignon Blanc bottling. Bold and unabashedly tropical in nature, it screams passion fruit aloud, then settles down into a mouthwatering, slightly chalky finish of immodest length."
Cabernet Sauvignon,US,Washington,Amavi,29.0,92.0,"Fragrant and young, this Cab bursts with juicy berry fruit flavors. Brambly raspberry, a whiff of mint, plenty of cassis and a dusting of spice all combine in a well-structured wine ready for the table. Firm and supported with mineral-soaked acids, this has the texture, tannins and push-through to age gracefully, though it's perfectly ready right now."
Nero d'Avola,Italy,Sicily & Sardinia,Curto,29.0,92.0,"Made entirely from Nero d'Avola, this delicious wine opens with ripe black plum, carob and Mediterranean brush aromas. The smooth, chewy palate doles out layers of juicy blackberry, ripe Morello cherry, clove and white pepper flavors. A licorice note closes the finish while fine-grained tannins provide the framework. Enjoy through 2022."
Blaufränkisch,Austria,Eisenberg,Jalits,29.0,92.0,"An intriguing nose of slight but very pleasant smokiness with mere edges of peat and earth leads onto a notion of black cherry. The dark palate is framed by specks of pepper, bringing nuance to this structured wine. Still young, this wine has the ability to go some distance. Drink now-2019."
Chardonnay,US,Oregon,DanCin,29.0,92.0,"The name references the mix of fermentation techniques—40% neutral oak, 40% stainless steel and 20% new French barrels. Peach and papaya fruit are accented by a light streak of honey and a whiff of wet stone. This is both nuanced and beautifully proportioned."
Cabernet Sauvignon,US,Oregon,Beresan,29.0,92.0,"Sourced from estate vineyards, this is aged in a mix of new and neutral French oak. Baking spices, gingerbread, cassis, earth, umami, soy and balsamic elements combine in a complex, distinctive and powerful wine with another decade of development ahead. Decant if drinking soon, or cellar until 2025."
Mourvèdre,US,California,Sol Rouge,29.0,92.0,"More flavorful than the rather light color might indicate, this sophisticated wine has wonderful, complex aromas like leather, tea and chocolate. Vibrant flavors of raspberry and pomegranate partner with an appetizingly dry and slightly tannic texture. It is medium to full bodied."
Grüner Veltliner,Austria,Kamptal,Hirsch,29.0,92.0,"Less aromatically forward than its peers, this suggests slightly riper fruit. A welcome mineral focus comes on the concentrated, textured palate that boasts zesty citrus peel and a wonderfully straight, upright backbone. This will come into its own by 2015–2016."
Zinfandel,US,California,Sextant,29.0,92.0,"This delivers a no-holds-barred Paso-style of richness, with black plum, vanilla, caramel, cola and cherry-filled ganache aromas leaping from the glass. It's soft and luxurious on the sip, with caramel-laced fudge, espresso cream, black-cherry sorbet and loads of milk-chocolate flavorings."
Pinot Gris,US,Oregon,King Estate,29.0,92.0,"Sophisticated and complex, this brings well-structured layers of citrus juice, flesh and rind. It offers a delicate herbal touch and a lingering finish. As the wine evolves in the glass, a tasty hint of honeysuckle emerges."
Sparkling Blend,France,Alsace,Kuentz-Bas,29.0,92.0,"Luscious stone-fruit notes on the nose suggest ripeness and opulence. The palate speaks with that same generous fruit but holds a tight fresh grip that unites mirabelle, crisp green apple, bright citrus and yeasty richness. This is a beautifully balanced expressive wine with fine creamy fizz that is lovely now but will also reward laying down. The finish is long and deliciously dry and fresh. Drink 2017–2022."
Zinfandel,US,California,Seven Angels,29.0,92.0,"Coming from a vineyard named after the patron saint of night watchmen, this wine offers luxurious purple aromas of blackberry-vanilla sauce and dark chocolate. The palate is sticky and singing with coffee, milk chocolate and dried cherries, showing plenty of deep tannins and boisterous acidity that will make this bottling last a while."
Rosé,France,Provence,Château Sainte Marguerite,29.0,92.0,"The palest of grey-pink rosés, this is classy, fresh and fragrant. It has a light, orange-zest texture as well as tannins and a mineral edge. Very fresh, it is also worth aging a few months."
Syrah,US,California,Boekenoogen,29.0,92.0,"Baked strawberries, peppercorns and lavender flowers converge for a dynamic nose on this bottling, which also offers scents of sea-salt caramel and toasted oak. There's lots of vibrancy to the sip, where beef char, oregano, marjoram and thyme give nuance to the full-bodied, black pepper-laced blackberry jam."
Syrah,Israel,Galilee,Golan Heights Winery,29.0,92.0,"This deep black-cherry colored wine has a fruity nose of pomegranate and strawberry. It is smooth on the palate, with flavors of black currant, plum, white chocolate, lavender and a hint of baking spice. The finish is characterized by a splash of tart strawberry."
Bordeaux-style Red Blend,France,Bordeaux,Château la Tour de By,29.0,92.0,"The Pagès family, which has a group of estates in the Médoc, has produced a rich, concentrated wine at this château. While packed with black currant fruit from the 60% Cabernet Sauvignon in the blend, it also has a firm layer of tannins that will allow it to age. Drink from 2021."
Glera,Italy,Veneto,Nino Franco,29.0,92.0,"Enticing scents of ripe orchard fruit, aromatic herb and fragrant white spring flower take center stage on this elegant sparkler. The generous palate doles out juicy white peach, ripe Granny Smith apple and tangerine zest. Fresh acidity brightens the creamy flavors while an elegant mousse imparts finesse."
White Blend,Italy,Sicily & Sardinia,Biondi,29.0,92.0,"Intense aromas of white spring flower, aromatic herb, exotic fruit and citrus seamlessly come together on this. The radiant, precise palate offers nectarine zest, lime, sage and white peach while a tangy saline note closes the lingering finish. Enjoy now or hold another few years for more complexity. Drink through 2020."
Petite Sirah,US,California,Cedarville,29.0,92.0,"Good depth of flavor and a sense of layering makes this wine especially enjoyable. A big aroma pulls in wood smoke, black pepper, black cherry, generous fruit flavors, dark chocolate and smoky accents."
Riesling,US,Oregon,Chehalem,29.0,92.0,"The slightly off-dry profile (12g/L residual sugar) perfectly complements the ultraripe, deeply concentrated fruit. It's downright plush, with ripe apple and pear tart flavors. Young as it is, you may not want to wait to drink this one."
Sparkling Blend,US,California,Roederer Estate,29.0,92.0,"Crisp peach and red-fruit flavors combine with vibrant acidity and energizing, fine bubbles to create a balanced and rich sparkling wine. A spicy, crisp fruit character lingers long on the finish."
Riesling,US,New York,Hermann J. Wiemer,29.0,92.0,"Seeming delicate at first, barely-there whiffs of lemon peel and green herb turn riper and sunnier on this dry, medium-bodied Riesling. The palate is quite unctuous, dripping with white peach and grapefruit nectar. A cool strike of steel extends from midpalate to finish, lending mineral elegance to this ripe, rich wine."
Nerello Mascalese,Italy,Sicily & Sardinia,Destro,29.0,92.0,"Creamy wild cherry, crushed strawberry, exotic incense, clove and cinnamon-spice spill from the glass when you pour this delicious wine made on the slopes of Mount Etna. It's very youthful, with fresh red-berry fruit and bright acidity balanced by polished tannins. A licorice notes signals the close."
Gamay,France,Beaujolais,Domaine des Chers,29.0,92.0,"Owner Arnaud Briday has made a firm structured cru wine. While it has the generous fruit of the year, it also has plenty of tannins that give it tension and concentration. The wine is rich with explosive berry fruits and balanced acidity. Drink from 2018."
Syrah,US,California,Alder Springs,29.0,92.0,"The intensely dark color, tight aromas of black pepper and clove, deep and very ripe fruit flavors and thick tannins add up to a big, bold wine that tastes more full-bodied than its moderate alcohol would indicate. It has vivid flavors like espresso, dark chocolate and a hint of candied fruit, yet is decidedly dry. It should be best after 2018, or enjoy now with hearty meats."
Blaufränkisch,Austria,Carnuntum,Muhr-Van der Niepoort,29.0,92.0,"There is nothing obvious about this wine: everything is subtle and elegant. The nose holds back and the taut palate only unfurls slowly to show a floral, fruity wine that reminds one of crimson peony petals as much as of dark, juicy cherries. Yet there is nothing facile about this. It is the silky-smooth texture, however, that delivers the killer blow. A most sensuous, intriguing wine of great elegance. Little wonder: its name means silk and velvet"
Gamay,France,Beaujolais,Trenel Fils,29.0,92.0,A firm and tannic wine from the most northerly of the Beaujolais cru villages near Bourgogne. Blackberry fruit and juicy acidity are a balance to this initially severe wine. Its dry core and mineral texture show that this wine will need to age. Drink from 2018.
Malbec,Argentina,Mendoza Province,Don Manuel Villafañe,29.0,92.0,"This purple saturated Malbec opens with powerful aromas of cola, tree bark and spiced blackberry. A saturated, extracted, highly tannic palate amounts to a heavy load, while baked and blackened berry flavors include a strong shot of chocolate. On the finish, more chocolate along with fig and baked berry flavors seal this rich ripe offering. Drink through 2022."
Viura,Spain,Northern Spain,Marqués de Murrieta,29.0,92.0,"Waxy aromas of dried stone fruits and potent oak open this classy barrel-fermented Viura. A refined palate with cutting acidity energizes woody pear and apple flavors. On the finish, resiny oak and a wave of oxidized Sherry notes are highly complex but maybe not for everyone."
Pinot Blanc,Austria,Burgenland,Prieler,29.0,92.0,"Ripe, tropical overtones of mango and passion fruit accompany the more usual ripe pear notes of this concentrated wine. There are mineral hints on the palate, where weight, flavor and freshness are in perfect accord. This is lovely now but will age very gracefully."
Pinot Noir,US,California,Joseph Jewell,29.0,92.0,"Scoring slightly higher than the Alderpoint vineyard-designated wine, this basic Humboldt County bottling bursts with with black cherry aroma. It's medium-bodied, free of oak-driven flavor and loaded with fruit. Lively acidity and mouth-filling texture keep the cherry and raspberry notes echoing through the finish, striking wonderful balance in an appetizing, mouthwatering package."
Malbec,Argentina,Mendoza Province,Puramun,29.0,92.0,"Potent, inky aromas of blackberry and licorice reflect this beefy Malbec's opaque black color. In the mouth, this is energetic and not just heavy and extracted. Lightly salted black-fruit flavors are lifted by acidity, while this finishes deep and strong. Drink through 2022."
Sauvignon Blanc,New Zealand,Marlborough,Greywacke,29.0,92.0,"A relative bargain in the scheme of barrel-fermented Sauvignon Blanc, Kevin Judd's version boasts toasty, nutty notes upfront, followed by creamy citrus and stone-fruit aromas and flavors. It's a top example of the richness and potential age-worthiness that oak can bring to carefully selected lots of Sauvignon Blanc."
Sangiovese,Italy,Tuscany,Le Potazzine,29.0,92.0,"Structured but elegant, this weaves together sensations of tilled earth, forest floor, black cherry, raspberry, orange peel and nutmeg alongside supple tannins. It's vibrant and drinkable. Even though it will age moderately well, enjoy over the next few years to capture the fresh berry fruit."
Chardonnay,France,Burgundy,Domaine Sangouard-Guyot,29.0,92.0,"Quintessence is a good name for this wine that has the minerality and the structure that are the soul of the appellation. In addition it offers apricot and pear fruitiness and intense acidity. This wine is so drinkable now, although it will be much better from 2018."
Riesling,Austria,Wachau,Josef Jamek,29.0,92.0,"Notions of citrus peel and foliage, of ripe, red-cheeked little yellow mirabelle plums mix exoticism with the homely. Treading on light feet, almost on a tightrope, this is top-laden with fruit, yet focused and taut. A real flirt of a wine, but with serious intent."
Red Blend,Italy,Tuscany,Isole e Olena,29.0,92.0,"Here's a structured but elegant wine that opens with aromas of wild berry, mint, clove and a balsamic note. The firm, fresh palate offers dried black cherry, raspberry, menthol, white pepper, grilled herb and a note of well-integrated oak while velvety tannins provide support. It's great now but it will be even better in a few years. Drink through 2020."
Portuguese Red,Portugal,Dão,Quinta das Marias,29.0,92.0,"This is seriously structured and firm with great aging potential. A blend of Touriga Nacional and Tinta Roriz, both grapes very much at home in the Dão, the wine is full of solid tannins, concentrated black fruits and a dark texture. Fermenting in open tanks has helped the wine gain its broad rich texture. Drink from 2020."
Pinot Gris,France,Alsace,Domaine Pfister,29.0,92.0,"Almost tropical overtones on the nose announce ample pure fruit. Russet pear has both a touch of fresh Amalfi lemon and luscious honey. Yet the palate is slender, taut and dry. A lovely evocation of the varietal richness of Pinot Gris, framed on very light feet with elegance and poise. Totally appetizing, dry and moreish."
Zinfandel,US,California,Opolo,29.0,92.0,"This unabashedly powerful and jammy wine shows black-cherry candy, sweet roses, vanilla, black rocks and black pepper on the nose. The soft tannins carry forth waves of vanilla, coconut, caramel and blueberry jelly, perfect to please those seeking a whopper of a wine."
Petite Sirah,US,California,Ruby Hill Winery,29.0,92.0,"Big, richly fruity and quite tannic, this concentrated wine pulls off good balance, as the ripeness and near-sweetness of the fruit flavors seems to dissolve some of the firm grip in the texture. Aromas like tobacco, pencil lead and cedar keep coming as the wine opens up in the glass."
Portuguese Red,Portugal,Lisboa,DFJ Vinhos,29.0,92.0,"This is a flagship wine for DFJ owner and winemaker José Neiva Correia. It is generous while preserving great style and elegance. The black berry fruits and layers of tannins are well balanced with the acidity and the light wood aging. A wine to savor, it will be ready to drink from 2018."
Merlot,Israel,Galilee,Golan Heights Winery,29.0,92.0,"This wine is dark garnet to the eye, with a fragrance of raspberry, cherry and Mediterranean herbs. There is a pleasing balance of fruit and dried herb notes. Smooth tannins prevail, with flavors of black cherry, blueberry, eucalyptus, smoked meat and fresh-cut herbs of thyme and oregano paving the way for a blueberry, oregano and orange rind finish."
Syrah,US,California,Sinor-LaVallee,29.0,92.0,"Blueberry, dark berries and tar swirl together on the nose of this hedonistic wine from Mike Sinor's Bassi Ranch property, located just 1.3 miles from the ocean at Shell Beach. It's rich, meaty and heavily spiced on the palate, with dark chocolate, cedar and plenty of blackberry, but the bitter and savory elements stop it short of being a fruit bomb."
Glera,Italy,Veneto,Nino Franco,29.0,92.0,"Creamy and fresh, this off-dry sparkler offers heady aromas of exotic fruit, candied orange peel and ripe peach. The foaming palate doles out ripe apple, Bartlett pear and crystallized ginger alongside crisp acidity that gives it an almost linear quality."
Grenache,US,California,Kings Carey,29.0,92.0,"This bottling from John Sebastiano Vineyard is a great example of how a light Grenache can entertain needy palates. Sagebrush-laced aromas of wild thyme and tree bark mesh with tart pomegranate, red currant and a touch of red-cherry pie on the nose. The tea-leaf-laced sip shows raspberry, red plum and red apple, which just enough tannic structure."
Pinot Gris,France,Alsace,Domaines Schlumberger,29.0,92.0,"There almost is the slightest touch of lovely Poire William spirit on the nose. This is a lovely pear-scented, dry wine of immense fruitfulness. A homely earthiness counteracts this and makes for a concentrated, medium-dry but mellow palate. The finish is off dry, lasting and mouthfilling. There is something immensely satisfying about this."
Chardonnay,France,Burgundy,Henry Fessy,29.0,92.0,"This wine is structured and concentrated, showing a tight character that is closed and firm. It has enough fruit for the future to show its potential richness. Concentrated, very mineral, the wine should not be drunk until 2017."
Syrah,US,Oregon,Quady North,29.0,92.0,"Sourced from a cool site in this southern Oregon AVA, this compelling effort rewards both breathing time and extra attention. Classic funk/umami scents and flavors accompany tangy boysenberry fruit. Suggestions of roasted meat, allspice, licorice, espresso and iron filings fill in throughout a long and satisfying finish. This is a wine you may enjoy immediately and on through 2025."
Grüner Veltliner,Austria,Wagram-Donauland,Anton Bauer,29.0,92.0,"Flint, ripe peaches and golden apricots with the merest hint of vanilla suggest the finest Viennese pastries. This well-judged and super-mellow wine is just rich enough, also giving hints of almond paste and lime peel. There is no heaviness, just velvety mouthfeel and sumptuous length."
Malbec,Argentina,Mendoza Province,Pulenta Estate,29.0,92.0,"The nose offers a fine mix of floral berry, dusty earth and classic Malbec richness, while the palate is juicy, balanced and tastes of cassis, blackberry, fresh plum, cracked pepper and baking spices. Full and long on the finish, and overall it's right where you want it to be. Drink now through 2011."
Chardonnay,New Zealand,Waipara,Mountford,29.0,92.0,"This has really evolved over the past 10 months since I tasted it at the winery, going from crisp and pineapple-y then to more honeyed and tropical now, with opulent layers of peach and mango that coat the mouth on the long finish. Drink now."
Red Blend,Italy,Tuscany,Il Conventino,29.0,92.0,"Made from organically grown grapes, this wine boasts a refined bouquet of violet, iris and baking spices. The palate delivers a core of dark cherry and raspberry flavors with white pepper and a hint of herbs. It's elegant, with a bright, silky palate and nice length."
Port,Portugal,Port,Warre's,29.0,92.0,"The Warre's style is for unfiltered Late Bottled Vintages, which means they are can age in bottle. This wine, now released at 12 years is a case in point. In richness and in structure it is more like a fast aging Vintage Port. It is full of dark fruits, dense tannins and great concentration. A very fine wine, it is ready to drink."
Riesling,US,New York,Hermann J. Wiemer,29.0,92.0,"Made from a blend of grapes from the estate's top vineyards, this vivacious dry Riesling balances crisp mineral tones against ripe, tropical notes of mango, pineapple and melon. It's lusciously mouthcoating yet cut with strikes of tangerine and lime. Delightful now, but structured enough to improve through at least 2023."
Viura,Spain,Northern Spain,Marqués de Murrieta,28.0,92.0,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years."
Pinot Gris,France,Alsace,Rieflé,28.0,92.0,"This is a textured wine with ripe and perfumed fruitiness. Honeyed in style and medium-sweet on the palate, it's a complex, rich wine that's ready to drink now, but could also improve with age."
Red Blend,Spain,Northern Spain,Perelada,28.0,92.0,"This five-grape blend is muscular and wide on the palate, with oaky berry flavors that are also tarry and toasty. Hard tannins and some chop on the finish suggest further aging would be beneficial. Drink this Cabernet-led blend that also includes Garnacha, Syrah, Merlot and Cab Franc through 2025."
Chenin Blanc,France,Loire Valley,Domaine Huët,28.0,92.0,Classic. Beautiful acidity is balanced by just a touch of sweetness. The wine is bright with apple and lime flavors.
Red Blend,Italy,Sicily & Sardinia,Fattorie Romeo del Castello,28.0,92.0,"This elegant, structured red opens with a potpourri of perfumed berry, wild flower and a whiff of cake spice. The juicy palate doles out black cherry, wild strawberry, cinnamon, star anise and menthol alongside firm but fine-grained tannins. Drink 2017–2022."
Pinot Noir,US,California,Cebada,28.0,92.0,"Very light pink, this rosé offers extremely pleasant and approachable aromas of nectarine, pluot, plum, lime and a dusting of vanilla. These give way to a light and bright palate, where lime zest cuts through a bubble gum core. Yeasty notes adds further nuance."
Sauvignon Blanc,Romania,Recas,Cramele Recas,28.0,92.0,"This late harvest Sauvignon Blanc is honey gold in color, with tantalizing aromas of honeysuckle, white flowers and lanolin. It is generous on the palate, with flavors of apricot and tinned peaches supported by floral notes. Its sweetness is enhanced by a pleasing level of acidity on the finish."
Portuguese Red,Portugal,Alentejo,Cartuxa,28.0,92.0,"Named after the city of Evora, capital of Alentejo and close to the winery, this is a finely made impressive wine. While it is rich, it's ripe, smooth and packed with berry fruits as well as balanced tannins. It is still developing and although it can be drunk soon, it will be better aged for several more years. Ideally, wait until 2018."
Chenin Blanc,South Africa,Western Cape,Jean Daneel,28.0,92.0,"This oaked Chenin shows great structure and power now, with the potential to cellar nicely for another three years or beyond. Toasted brioche, wood-grilled peaches and quince aromas open up immediately on the bouquet and carry through to the palate alongside seductive accents of sweet spice, almond skin and orange oil. The texture is round and full, and the spice-driven finish is long and satisfying."
Cabernet Franc,US,Washington,Walla Walla Vintners,28.0,92.0,"This is a tight, black-fruited wine, with generous flavors that include espresso and licorice. At first it's quite firm and a bit unyielding, it slowly peels open layer after layer, tossing out hints of dried herb, tobacco and mocha."
